repo_name,case_study_name,repo_url,case_study_url,Packages,Title,Questions,Objectives,GitHub Repository,Case Study,Category,Interactive_url,Interactive_version,Static_version,int_repo_url,int_repo_version,int_repo_branch
/opencasestudies/ocs-bp-school-shootings-dashboard,ocs-bp-school-shootings-dashboard,https://github.com//opencasestudies/ocs-bp-school-shootings-dashboard,https://www.opencasestudies.org/ocs-bp-school-shootings-dashboard,"dplyr, DT, flexdashboard, forcats, ggmap, ggplot2, googlesheets4, here, htmltools, leaflet, lubridate, magrittr, poliscidata, readr, sf, shiny, stringr, tibble, tidyr, waffle",School Shootings in the United States,"What has been the yearly rate of school shootings and where in the
country have they occurred in the last 50 years (from January 1970
to June 2020)?
, How many individuals are typically killed in a shooting?
, What were the characteristics of the shooters: How often was a
shooter male? How often did a shooter attempt or commit suicide?
","Importing text from a Google Sheets document (googlesheets4), Converting date formats (lubridate), Geocoding data (ggmap) and creating a jitter for geocoded data ona map (SF), How to create data visualizations with ggplot2, An introductory understand of R Markdown, How to create an interactive table (DT), How to create a map (leaflet), How to create an interactive dashboard with flexdashboard andshiny, Calculating percentages for data with missing values","<a href=""https://github.com//opencasestudies/ocs-bp-school-shootings-dashboard"" target=""_blank"">Static Version Repository</a>","School Shootings in the United States<br></br><a href=""https://www.opencasestudies.org/ocs-bp-school-shootings-dashboard"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-school-shootings-dashboard"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-school-shootings-dashboard-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-school-shootings-dashboard/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-school-shootings-dashboard/tree/interactive
/opencasestudies/ocs-bp-youth-disconnection,ocs-bp-youth-disconnection,https://github.com//opencasestudies/ocs-bp-youth-disconnection,https://www.opencasestudies.org/ocs-bp-youth-disconnection,"cowplot, directlabels, dplyr, DT, forcats, ggplot2, here, kendall, knitr, magick, magrittr, patchwork, pdftools, stringr, tesseract, tibble, tidyr",Disparities in Youth Disconnection,"How have youth disconnection rates in American youth changed since2008?, In particular, how has this changed for different gender and ethnicgroups? Are any groups particularly disconnected?","Importing text from PDF files using images and the magickpackage, Apply action verbs in dplyr for data wrangling, How to reshape data by pivoting between “long” and “wide” formatsand separating columns into additional columns (tidyr), How to fill in data based on previous values (tidyr), How to create data visualizations with ggplot2 that are in asimilar style to an existing image, How to add images to plots using cowplot, How to create effective bar plots to for multiple comparisons,including adding gaps between bars in bar plots, adding figure
legends to the plot area, and adding comparison lines (ggplot2), Implementation of the Mann-Kendall trend test, Interpretation of the Mann-Kendall trend test, Difference between linear regression and Mann-Kendall trend test","<a href=""https://github.com//opencasestudies/ocs-bp-youth-disconnection"" target=""_blank"">Static Version Repository</a>","Disparities in Youth Disconnection<br></br><a href=""https://www.opencasestudies.org/ocs-bp-youth-disconnection"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-youth-disconnection"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-youth-disconnection-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-youth-disconnection/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-youth-disconnection/tree/interactive
/opencasestudies/ocs-bp-opioid-rural-urban,ocs-bp-opioid-rural-urban,https://github.com//opencasestudies/ocs-bp-opioid-rural-urban,https://www.opencasestudies.org/ocs-bp-opioid-rural-urban,"directlabels, dplyr, forcats, formattable, ggiraph, ggplot2, ggpol, httr, jsonlite, magrittr, naniar, patchwork, readxl, stringr, tibble, tidyr, usdata",Opioids in United States,How did opioid shipment rates differ between rural and urban regionsover time around the US from 2006-2014?,"Importing data from an API(httr and jasonlite), How to join data with dplyr, How to create formatted tables of data with formattable, How to look for missing data in a dataset (naniar), How to create data visualizations with ggplot2, How to create interactive plot for plots that are difficult to labelbecause they have many elements (ggiraph), How to combine plots with patchwork, Understanding of when and why data normalization is useful, Understanding of how group definitions can change results, Understanding of when to use a Wilcoxon rank sum test (also calledMann Whitney U test), How to implement a Wilcoxon rank sum test in R, How to interpret a Wilcoxon rank sum test","<a href=""https://github.com//opencasestudies/ocs-bp-opioid-rural-urban"" target=""_blank"">Static Version Repository</a><a href=""https://github.com//opencasestudies/ocs-bp-opioid-rural-urban/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>","Opioids in United States<br></br><a href=""https://www.opencasestudies.org/ocs-bp-opioid-rural-urban"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-opioid-rural-urban"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-opioid-rural-urban-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-opioid-rural-urban/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-opioid-rural-urban/tree/interactive
/opencasestudies/ocs-bp-vaping-case-study,ocs-bp-vaping-case-study,https://github.com//opencasestudies/ocs-bp-vaping-case-study,https://www.opencasestudies.org/ocs-bp-vaping-case-study,"broom, cowplot, dplyr, forcats, ggplot2, here, magrittr, naniar, purrr, readr, readxl, scales, stringr, survey, syrvr, tidyr, viridis",Vaping Behaviors in American Youth,"How has tobacco and e-cigarette/vaping use by American youths
changed since 2015?
, How does e-cigarette use compare between males and females?
, What vaping brands and flavors appear to be used the most
frequently?
This is based on the following survey questions:
> “During the past 30 days, what brand of e-cigarettes did you
usually use?”
> “What flavors of tobacco products have you used in the past 30
days?”
, Is there a relationship between e-cigarette/vaping use and other
tobacco use?
","Understanding of different types of longitudinal data, Usage of code books, Conceptual understanding of survey weighting, Implementing logistic regression with survey weighting","<a href=""https://github.com//opencasestudies/ocs-bp-vaping-case-study"" target=""_blank"">Static Version Repository</a>","Vaping Behaviors in American Youth<br></br><a href=""https://www.opencasestudies.org/ocs-bp-vaping-case-study"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-vaping-case-study"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-vaping-case-study-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-vaping-case-study/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-vaping-case-study/tree/interactive
/opencasestudies/ocs-bp-youth-mental-health,ocs-bp-youth-mental-health,https://github.com//opencasestudies/ocs-bp-youth-mental-health,https://www.opencasestudies.org/ocs-bp-youth-mental-health,"cowplot, directlabels, dplyr, forcats, ggplot2, ggthemes, here, magick, purrr, rstatix, rvest, scales, stringr, tibble, tidyr",Mental Health of American Youth,"How have depression rates in American youth changed since 2004,according to the NSDUH data? How have rates differed between
different youth subgroups (age, gender, ethnicity)?, Do mental health services appear to be reaching more youths? Again,how have rates differed between different youth subgroups (age,
gender, ethnicity)?","Scrape data directly from a website (rvest), Subset and filter data (dplyr), Write functions to wrangle data repetitively, Work with character strings (stringr), Reshape data into different formats (tidyr), Create data visualizations (ggplot2) with labels (directlabels)and facets for different groups, Combine multiple plots (cowplot), Optional: Create an animated gif (magick), Discuss the impact of self-reporting bias on survey responses, Define and create a contingency table, Implementation of a chi-squared test for independence, Interpretation of a chi-squared test for independence","<a href=""https://github.com//opencasestudies/ocs-bp-youth-mental-health"" target=""_blank"">Static Version Repository</a><a href=""https://github.com//opencasestudies/ocs-bp-youth-mental-health-interactive"" target=""_blank""><br></br>Interactive Version Repository</a>","Mental Health of American Youth<br></br><a href=""https://www.opencasestudies.org/ocs-bp-youth-mental-health"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-youth-mental-health"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-youth-mental-health-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-youth-mental-health/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-youth-mental-health/tree/interactive
/opencasestudies/ocs-bp-rural-and-urban-obesity,ocs-bp-rural-and-urban-obesity,https://github.com//opencasestudies/ocs-bp-rural-and-urban-obesity,https://www.opencasestudies.org/ocs-bp-rural-and-urban-obesity,"dplyr, ggplot2, ggrepel, glue, here, magrittr, pdftools, purrr, readr, stringr, tibble, tidyr",Exploring global patterns of obesity across rural and urban regions,"Is there a difference between rural and urban BMI estimates aroundthe world? In particular, what does this difference look like for
women?, How have BMI estimates changed from 1985 to 2017? In particular,what does this change over time look like for women?, How do different countries compare for BMI estimates? In particular,how does the United States compare to the rest of the world?","Importing data from a PDF (pdftools), Subsetting and filtering data (dplyr), Working with character strings (stringr), Reshaping data into different formats (tidyr), Applying functions to all columns of a tibble (purrr), Creating data visualizations (ggplot2) with labels (ggrepel), Combining multiple plots (cowplot and patchwork), Familiarity with the use of Quantile-Quantile plots to assessnormality, Define and understand the utility of alpha and the p value, Describe the difference between nonparametric and parametric tests, Be able to identify paired data, Implementation of a paired t-test, Interpretation of a paired t-test, Implementation of a Wilcoxon signed-rank test, Interpretation of a Wilcoxon signed-rank test, Understanding of the need for multiple testing correction, Dividing data into separate lines, Removing excess white-space, Removing redundant header information, Correcting spacing issues, Splitting the data into columns using a delimiter, Changing variable names, Sorting the data, Converting to long format, Separating a column into multiple columns","<a href=""https://github.com//opencasestudies/ocs-bp-rural-and-urban-obesity"" target=""_blank"">Static Version Repository</a><a href=""https://github.com//opencasestudies/ocs-bp-rural-and-urban-obesity/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>","Exploring global patterns of obesity across rural and urban regions<br></br><a href=""https://www.opencasestudies.org/ocs-bp-rural-and-urban-obesity"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-rural-and-urban-obesity"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-rural-and-urban-obesity-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-rural-and-urban-obesity/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-rural-and-urban-obesity/tree/interactive
/opencasestudies/ocs-bp-RTC-analysis,ocs-bp-RTC-analysis,https://github.com//opencasestudies/ocs-bp-RTC-analysis,https://www.opencasestudies.org/ocs-bp-RTC-analysis,"broom, car, cowplot, dplyr, DT, GGally, ggcorrplot, ggplot2, ggrepel, here, latex2exp, magrittr, plm, purrr, rsample, stringr, tibble",Influence of Multicollinearity on Measured Impact of Right-to-Carry Gun Laws,"What is the effect of multicollinearity on coefficient estimatesfrom linear regression models when analyzing right to carry laws and
violence rates?","Create correlation scatterplots and heatmaps (GGally,ggcorrplot), Creating interactive tables (DT), Sampling subsets of data (rsample), Combining multiple plots (cowplot), Data visualizations with equations and text(ggplot2 andlatex2exp), Understanding of what multicollinearity is and how it can influencelinear regression coefficients, Know how to look for the presence of multicollinearity and determineits severity, Illustrate the difference between multicollinearity and correlation, How to implement panel regression analysis in R (plm), Define variance inflation factor (VIF) and know how to calculate inR (car)","<a href=""https://github.com//opencasestudies/ocs-bp-RTC-analysis"" target=""_blank"">Static Version Repository</a><a href=""https://github.com//opencasestudies/ocs-bp-RTC-analysis/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>","Influence of Multicollinearity on Measured Impact of Right-to-Carry Gun Laws<br></br><a href=""https://www.opencasestudies.org/ocs-bp-RTC-analysis"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-RTC-analysis"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-RTC-analysis-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-RTC-analysis/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-RTC-analysis/tree/interactive
/opencasestudies/ocs-bp-co2-emissions,ocs-bp-co2-emissions,https://github.com//opencasestudies/ocs-bp-co2-emissions,https://www.opencasestudies.org/ocs-bp-co2-emissions,"broom, directlabels, dplyr, forcats, ggplot2, ggrepel, here, magrittr, patchwork, purrr, readr, readxl, stringr, tidyr",Exploring CO2 emissions across time,"How have global CO2 emission rates changed over time? In particularfor the US, and how does the US compare to other countries?, Are CO2 emissions in the US, global temperatures, and naturaldisaster rates in the US associated?","Importing data from various types of Excel files and CSV files, Apply action verbs in dplyr for data wrangling, How to pivot between “long” and “wide” datasets, Joining together multiple datasets using dplyr, How to create effective longitudinal data visualizations withggplot2, How to add text, color, and labels to ggplot2 plots, How to create faceted ggplot2 plots, Introduction to correlation coefficient as a summary statistic, Relationship between correlation and linear regression, Correlation is not causation","<a href=""https://github.com//opencasestudies/ocs-bp-co2-emissions"" target=""_blank"">Static Version Repository</a><a href=""https://github.com//opencasestudies/ocs-bp-co2-emissions-interactive"" target=""_blank""><br></br>Interactive Version Repository</a>","Exploring CO2 emissions across time<br></br><a href=""https://www.opencasestudies.org/ocs-bp-co2-emissions"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a><br></br><a href=""https://ocs-bp-co2-emissions-interactive.fredhutch.org/"" target=""_blank"">Interactive Version:<br></br><img src=""https://github.com/opencasestudies/ocs-make-interactive-tutorial/blob/main/www/img/interactive_logo.png?raw=true"" height=""52""> </img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",https://ocs-bp-co2-emissions-interactive.fredhutch.org/,"<br></br><a href=""https://ocs-bp-co2-emissions-interactive.fredhutch.org/"" target=""_blank"">Interactive Version:<br></br><img src=""https://rsconnect.biostat.jhsph.edu/ocs-bp-opioid-rural-urban-interactive/_w_fa6f6915/www/img/interactive_logo.png"" height=""52""> </img></a>","<br></br><a href=""https://www.opencasestudies.org/ocs-bp-co2-emissions"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-co2-emissions-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-co2-emissions/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-co2-emissions/tree/interactive
/opencasestudies/ocs-bp-RTC-wrangling,ocs-bp-RTC-wrangling,https://github.com//opencasestudies/ocs-bp-RTC-wrangling,https://www.opencasestudies.org/ocs-bp-RTC-wrangling,"dplyr, forcats, here, magrittr, pdftools, purrr, readr, readxl, stringr, tibble, tidyr",Influence of Multicollinearity on Measured Impact of Right-to-Carry Gun Laws Part 1,"How does the inclusion of different numbers of age groups influencethe results of an analysis of right to carry laws and violence
rates?","Data import of many different file types with special cases(readr, readxl, pdftools), Joining data from multiple sources (dplyr), Working with character strings (stringr), Data comparisons (dplyr and janitor), Reshaping data into different formats (tidyr)","<a href=""https://github.com//opencasestudies/ocs-bp-RTC-wrangling"" target=""_blank"">Static Version Repository</a>","Influence of Multicollinearity on Measured Impact of Right-to-Carry Gun Laws Part 1<br></br><a href=""https://www.opencasestudies.org/ocs-bp-RTC-wrangling"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-RTC-wrangling"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-RTC-wrangling-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-RTC-wrangling/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-RTC-wrangling/tree/interactive
/opencasestudies/ocs-bp-diet,ocs-bp-diet,https://github.com//opencasestudies/ocs-bp-diet,https://www.opencasestudies.org/ocs-bp-diet,"car, cowplot, dplyr, forcats, ggforce, ggiraph, ggplot2, ggpubr, here, lmerTest, magrittr, pdftools, purrr, readr, skimr, stringr, tibble, tidyr, viridis",Exploring global patterns of dietary behaviors associated with health risk,"What are the global trends for potentially harmful diets?, How do males and females compare?, How do different age groups compare for these dietary factors?, How do different countries compare? In particular, how does the UScompare to other countries in terms of diet trends?","Importing/extracting data from PDF (dplyr, stringr), How to reshape data by pivoting between “long” and “wide” formats(tidyr), Perform functions on all columns of a tibble (purrr), Data cleaning with regular expressions (stringr), Specific data value reassignment, Separate data within a column into multiple columns (tidyr), Methods to Compare data (dplyr), Combining data from two sources (dplyr), Make interactive plots (ggiraph), Make a zoom facet for plot (ggforce), Combine plots together (cowplot), Basic understanding of the utility of a regression analysis, How to implement a linear regression analysis in R, How to interpret regression coefficients, Awareness of t-test assumptions, Awareness of linear regression assumptions, How to use Q-Q plots to check for normality, Difference between fixed effects and random effects, How to perform paired t-test, How to perform a linear mixed effects regression","<a href=""https://github.com//opencasestudies/ocs-bp-diet"" target=""_blank"">Static Version Repository</a><a href=""https://github.com//opencasestudies/ocs-bp-diet-interactive"" target=""_blank""><br></br>Interactive Version Repository</a>","Exploring global patterns of dietary behaviors associated with health risk<br></br><a href=""https://www.opencasestudies.org/ocs-bp-diet"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-diet"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-diet-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-diet/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-diet/tree/interactive
/opencasestudies/ocs-bp-air-pollution,ocs-bp-air-pollution,https://github.com//opencasestudies/ocs-bp-air-pollution,https://www.opencasestudies.org/ocs-bp-air-pollution,"broom, corrplot, dials, doParallel, dplyr, GGally, ggplot2, here, lwgeom, magrittr, maps, parsnip, patchwork, randomForest, readr, recipes, rgeos, rnaturalearth, rsample, sf, skimr, stringr, summarytools, tidyr, tune, vip, workflows, yardstick",Predicting Annual Air Pollution,"Can we predict annual average air pollution concentrations at thegranularity of zip code regional levels using predictors such as
data about population density, urbanization, road density, as well
as, satellite pollution data and chemical modeling data?","Familiarity with the tidymodels ecosystem, Ability to evaluate correlation among predictor variables(corrplot and GGally), Ability to implement tidymodels packages such as rsample to splitthe data into training and testing sets as well as cross validation
sets., Ability to use the recipes, parsnip, and workflows to trainand test a linear regression model and random forest model, Demonstrate how to visualize geo-spatial data using ggplot2, Basic understanding the utility of machine learning for predictionand classification, Understanding of the need for training and test sets, Understanding of the utility of cross validation, Understanding of random forest, How to interpret root mean squared error (rmse) to assessperformance for prediction","<a href=""https://github.com//opencasestudies/ocs-bp-air-pollution"" target=""_blank"">Static Version Repository</a>","Predicting Annual Air Pollution<br></br><a href=""https://www.opencasestudies.org/ocs-bp-air-pollution"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>Bloomberg American Health Initiative <br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-bp-air-pollution"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-bp-air-pollution-interactive,"<a href=""https://github.com//opencasestudies/ocs-bp-air-pollution/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-bp-air-pollution/tree/interactive
/opencasestudies/ocs-healthexpenditure,ocs-healthexpenditure,https://github.com//opencasestudies/ocs-healthexpenditure,https://www.opencasestudies.org/ocs-healthexpenditure,"datasets, dplyr, ggplot2, ggrepel, readr, tibble, tidyr",Exploring health expenditure using state-level data in the United States,"Is there a relationship between healthcare coverage and healthcarespending in the United States?, How does the spending distribution change across geographic regionsin the Unied States?, Does the relationship between healthcare coverage and healthcarespending in the United States change from 2013 to 2014?","Load data from a package (datasets), Import data from a csv (readr), View, filter, join, and summarize data (dplyr), Reshape data into different formats (tidyr), Create data visualizations (ggplot2) with labels (ggrepel) andfacets for different groups","<a href=""https://github.com//opencasestudies/ocs-healthexpenditure"" target=""_blank"">Static Version Repository</a>","Exploring health expenditure using state-level data in the United States<br></br><a href=""https://www.opencasestudies.org/ocs-healthexpenditure"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon.png"" height=""52""></img></a>","<br></br> <a href=""https://americanhealth.jhu.edu/open-case-studies"" target=""_blank""> <br></br>General <br></br><img src=""https://opencasestudies.github.io/img/icon.png"" height=""52""> </img>",,,"<br></br><a href=""https://www.opencasestudies.org/ocs-healthexpenditure"" target=""_blank"">Static Version:<br></br><img src=""https://opencasestudies.github.io/img/icon-bahi.png"" height=""52""></img></a>",https://github.com//opencasestudies/ocs-healthexpenditure-interactive,"<a href=""https://github.com//opencasestudies/ocs-healthexpenditure/tree/interactive"" target=""_blank""><br></br>Interactive Version Repository</a>",https://github.com//opencasestudies/ocs-healthexpenditure/tree/interactive